Job Release Time,Num Jobs Released
1,1
6,1
10,1
12,1
14,1
15,1
17,1
18,1
19,1
21,1
22,1
24,1
26,1
30,1
32,1
36,1
38,1
46,1
47,1
49,1
50,1
51,1
54,1
57,1
59,1
60,1
63,1
67,1
68,1
69,1
70,1
73,1
75,1
84,1
88,1
89,1
92,1
95,1
97,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
108,1
109,1
114,1
116,1
118,1
121,1
122,1
123,1
124,1
125,1
127,1
131,1
132,1
139,1
143,1
150,1
152,1
154,1
156,1
158,1
160,1
164,1
165,1
171,1
172,1
174,1
175,1
176,1
178,1
180,1
183,1
184,1
185,1
187,1
193,1
194,1
195,1
199,1
201,1
206,1
208,1
209,1
211,1
215,1
216,1
219,1
226,1
227,1
228,1
229,1
233,1
236,1
237,1
238,1
