Job ID,GCUs Required,Execution Time,DeadLine,Lastest Time Schedulable,GCUs Req High,GCUs Req Medium,GCUs Req Low,ET High,ET Medium,ET Low,Deadline Flexibility
0,2,2,49,47,2,0,0,2,0,0,0
1,12,15,45,30,12,6,2,15,22,36,0
2,12,28,39,11,12,6,2,28,42,70,0
3,12,12,28,16,12,6,2,12,18,30,0
4,8,13,72,59,8,4,2,13,19,28,0
5,8,8,174,166,8,4,2,8,12,18,0
6,6,6,84,78,6,2,0,6,10,0,0
7,10,14,54,40,10,4,2,14,22,33,0
8,10,10,55,45,10,4,2,10,16,24,0
9,4,5,114,109,4,2,0,5,7,0,0
10,4,5,61,56,4,2,0,5,7,0,0
11,2,2,92,90,2,0,0,2,0,0,0
12,8,8,416,408,8,4,2,8,12,18,0
13,14,14,54,40,14,6,2,14,22,36,0
14,14,14,55,41,14,6,2,14,22,36,0
15,4,4,73,69,4,2,0,4,6,0,0
16,6,37,140,103,6,2,0,37,61,0,0
17,6,6,62,56,6,2,0,6,10,0,0
18,6,6,121,115,6,2,0,6,10,0,0
19,10,10,67,57,10,4,2,10,16,24,0
20,4,4,74,70,4,2,0,4,6,0,0
21,14,14,83,69,14,6,2,14,22,36,0
22,8,8,85,77,8,4,2,8,12,18,0
23,8,8,106,98,8,4,2,8,12,18,0
24,6,6,87,81,6,2,0,6,10,0,0
25,12,12,114,102,12,6,2,12,18,30,0
26,8,8,264,256,8,4,2,8,12,18,0
27,4,5,99,94,4,2,0,5,7,0,0
28,4,4,105,101,4,2,0,4,6,0,0
29,8,8,309,301,8,4,2,8,12,18,0
30,6,8,178,170,6,2,0,8,13,0,0
31,4,4,159,155,4,2,0,4,6,0,0
32,12,13,111,98,12,6,2,13,19,31,0
33,14,14,113,99,14,6,2,14,22,36,0
34,4,4,155,151,4,2,0,4,6,0,0
35,4,5,109,104,4,2,0,5,7,0,0
36,8,23,198,175,8,4,2,23,34,51,0
37,10,10,129,119,10,4,2,10,16,24,0
38,8,8,184,176,8,4,2,8,12,18,0
39,6,7,174,167,6,2,0,7,11,0,0
40,12,12,132,120,12,6,2,12,18,30,0
41,6,8,129,121,6,2,0,8,13,0,0
42,12,16,165,149,12,6,2,16,24,40,0
43,10,10,150,140,10,4,2,10,16,24,0
44,4,8,182,174,4,2,0,8,12,0,0
45,2,2,165,163,2,0,0,2,0,0,0
46,2,2,158,156,2,0,0,2,0,0,0
47,12,12,155,143,12,6,2,12,18,30,0
48,14,14,161,147,14,6,2,14,22,36,0
49,4,4,187,183,4,2,0,4,6,0,0
50,12,26,175,149,12,6,2,26,39,65,0
51,8,8,155,147,8,4,2,8,12,18,0
52,12,17,182,165,12,6,2,17,25,41,0
53,4,4,153,149,4,2,0,4,6,0,0
54,10,11,164,153,10,4,2,11,17,25,0
55,10,11,167,156,10,4,2,11,17,25,0
56,12,27,192,165,12,6,2,27,40,66,0
57,12,24,195,171,12,6,2,24,36,60,0
58,6,6,188,182,6,2,0,6,10,0,0
59,6,6,221,215,6,2,0,6,10,0,0
60,14,14,195,181,14,6,2,14,22,36,0
61,12,12,193,181,12,6,2,12,18,30,0
62,10,10,191,181,10,4,2,10,16,24,0
63,14,14,209,195,14,6,2,14,22,36,0
64,4,4,190,186,4,2,0,4,6,0,0
65,2,2,206,204,2,0,0,2,0,0,0
66,2,2,208,206,2,0,0,2,0,0,0
67,2,2,290,288,2,0,0,2,0,0,0
68,10,10,211,201,10,4,2,10,16,24,0
69,10,10,215,205,10,4,2,10,16,24,0
70,10,15,215,200,10,4,2,15,24,36,0
71,12,12,237,225,12,6,2,12,18,30,0
72,10,10,213,203,10,4,2,10,16,24,0
73,2,2,216,214,2,0,0,2,0,0,0
74,14,26,244,218,14,6,2,26,40,66,0
75,6,6,222,216,6,2,0,6,10,0,0
76,14,14,257,243,14,6,2,14,22,36,0
77,4,4,288,284,4,2,0,4,6,0,0
78,8,8,292,284,8,4,2,8,12,18,0
79,10,10,243,233,10,4,2,10,16,24,0
80,2,2,233,231,2,0,0,2,0,0,0
81,6,6,251,245,6,2,0,6,10,0,0
82,12,12,254,242,12,6,2,12,18,30,0
83,4,4,252,248,4,2,0,4,6,0,0
84,2,2,245,243,2,0,0,2,0,0,0
85,12,22,269,247,12,6,2,22,33,55,0
86,2,2,245,243,2,0,0,2,0,0,0
87,10,10,264,254,10,4,2,10,16,24,0
88,12,12,301,289,12,6,2,12,18,30,0
89,10,16,269,253,10,4,2,16,25,37,0
90,2,2,287,285,2,0,0,2,0,0,0
91,14,14,267,253,14,6,2,14,22,36,0
92,14,14,273,259,14,6,2,14,22,36,0
93,12,12,273,261,12,6,2,12,18,30,0
94,14,19,312,293,14,6,2,19,29,48,0
95,12,12,286,274,12,6,2,12,18,30,0
96,14,15,284,269,14,6,2,15,23,38,0
97,10,10,279,269,10,4,2,10,16,24,0
98,10,10,280,270,10,4,2,10,16,24,0
99,10,10,303,293,10,4,2,10,16,24,0
